"Item Name";"Type";"Parent";"Relation"
"Total";"Изделия и компоненты";;
"ПВЛ";"Изделия и компоненты";"Total";
"Стандарт.#1";"Варианты комплектации";"ПВЛ";
"Тележка Б25.#2";"Прямые компоненты";"Стандарт.#1";"Тележка Б25"
"Комплект СВЛ стд+надпятник.#3";"Прямые компоненты";"Стандарт.#1";"Комплект СВЛ стд+надпятник"
"ПВЛ соч";"Изделия и компоненты";"Total";
"ПВЛ 103м Б27";"Изделия и компоненты";"Total";
"ХОП";"Изделия и компоненты";"Total";
"ХОП 101";"Изделия и компоненты";"Total";
"Стандарт.#101";"Варианты комплектации";"ХОП 101";
"Тележка Б25.#205";"Прямые компоненты";"Стандарт.#101";"Тележка Б25"
"Комплект СВЛ с УЗ01К.#206";"Прямые компоненты";"Стандарт.#101";"Комплект СВЛ с УЗ01К"
"ХОП 120";"Изделия и компоненты";"Total";
"Стандарт.#102";"Варианты комплектации";"ХОП 120";
"Тележка МК25.#207";"Прямые компоненты";"Стандарт.#102";"Тележка МК25"
"Комплект СВЛ с УЗ01К.#208";"Прямые компоненты";"Стандарт.#102";"Комплект СВЛ с УЗ01К"
"ХМВ 160м Б25";"Изделия и компоненты";"Total";
"ПЛ 80";"Изделия и компоненты";"Total";
"Стандарт.#93";"Варианты комплектации";"ПЛ 80";
"Тележка Б25.#199";"Прямые компоненты";"Стандарт.#93";"Тележка Б25"
"Комплект СВЛ стд.#198";"Прямые компоненты";"Стандарт.#93";"Комплект СВЛ стд"
"ПЛ 40";"Изделия и компоненты";"Total";
"ПЛ 60";"Изделия и компоненты";"Total";
"ПЛ 40фт лес Б25";"Изделия и компоненты";"Total";
"Стандарт.#12";"Варианты комплектации";"ПЛ 40фт лес Б25";
"Тележка Б25.#56";"Прямые компоненты";"Стандарт.#12";"Тележка Б25"
"Комплект СВЛ стд.#58";"Прямые компоненты";"Стандарт.#12";"Комплект СВЛ стд"
"ПЛ 60фт лес Б25";"Изделия и компоненты";"Total";
"Стандарт.#14";"Варианты комплектации";"ПЛ 60фт лес Б25";
"Тележка Б25.#60";"Прямые компоненты";"Стандарт.#14";"Тележка Б25"
